batch_id,date,shift,machine,units_produced,defective_units
B0645,2026-02-12,Night,M5,585,15
B0646,2026-02-13,Morning,M1,422,19
B0647,2026-02-13,Evening,M2,439,26
B0648,2026-02-13,Night,M3,456,12
B0649,2026-02-13,Morning,M4,473,12
B0650,2026-02-13,Evening,M5,490,19
B0651,2026-02-13,Night,M1,507,29
B0652,2026-02-13,Morning,M2,524,5
B0653,2026-02-13,Evening,M3,541,16
B0654,2026-02-13,Night,M4,558,22
B0655,2026-02-13,Morning,M5,575,26
B0656,2026-02-13,Evening,M1,592,5
B0657,2026-02-13,Night,M2,429,15
B0658,2026-02-13,Morning,M3,446,23
B0659,2026-02-13,Evening,M4,463,26
B0660,2026-02-13,Night,M5,480,8
B0661,2026-02-14,Morning,M1,497,12
B0662,2026-02-14,Evening,M2,514,19
B0663,2026-02-14,Night,M3,531,33
B0664,2026-02-14,Morning,M4,548,5
B0665,2026-02-14,Evening,M5,565,12
B0666,2026-02-14,Night,M1,582,22
B0667,2026-02-14,Morning,M2,599,26
B0668,2026-02-14,Evening,M3,436,9
B0669,2026-02-14,Night,M4,453,15
B0670,2026-02-14,Morning,M5,470,19
B0671,2026-02-14,Evening,M1,487,26
B0672,2026-02-14,Night,M2,504,8
B0673,2026-02-14,Morning,M3,521,16
B0674,2026-02-14,Evening,M4,538,19
B0675,2026-02-14,Night,M5,555,29
B0676,2026-02-15,Morning,M1,572,5
B0677,2026-02-15,Evening,M2,589,12
B0678,2026-02-15,Night,M3,426,26
B0679,2026-02-15,Morning,M4,443,26
B0680,2026-02-15,Evening,M5,460,5
B0681,2026-02-15,Night,M1,477,15
B0682,2026-02-15,Morning,M2,494,19
B0683,2026-02-15,Evening,M3,511,30
B0684,2026-02-15,Night,M4,528,8
B0685,2026-02-15,Morning,M5,545,12
B0686,2026-02-15,Evening,M1,562,19
B0687,2026-02-15,Night,M2,579,29
B0688,2026-02-15,Morning,M3,596,9
B0689,2026-02-15,Evening,M4,433,12
B0690,2026-02-15,Night,M5,450,22
B0691,2026-02-16,Morning,M1,467,26
B0692,2026-02-16,Evening,M2,484,5
B0693,2026-02-16,Night,M3,501,19
B0694,2026-02-16,Morning,M4,518,19
B0695,2026-02-16,Evening,M5,535,26
B0696,2026-02-16,Night,M1,552,8
B0697,2026-02-16,Morning,M2,569,12
B0698,2026-02-16,Evening,M3,586,23
B0699,2026-02-16,Night,M4,423,29
B0700,2026-02-16,Morning,M5,440,5
B0701,2026-02-16,Evening,M1,457,12
B0702,2026-02-16,Night,M2,474,22
B0703,2026-02-16,Morning,M3,491,30
B0704,2026-02-16,Evening,M4,508,5
B0705,2026-02-16,Night,M5,525,15
B0706,2026-02-17,Morning,M1,542,19
B0707,2026-02-17,Evening,M2,559,26
B0708,2026-02-17,Night,M3,576,12
B0709,2026-02-17,Morning,M4,593,12
B0710,2026-02-17,Evening,M5,430,19
B0711,2026-02-17,Night,M1,447,29
B0712,2026-02-17,Morning,M2,464,5
B0713,2026-02-17,Evening,M3,481,16
B0714,2026-02-17,Night,M4,498,22
B0715,2026-02-17,Morning,M5,515,26
B0716,2026-02-17,Evening,M1,532,5
B0717,2026-02-17,Night,M2,549,15
B0718,2026-02-17,Morning,M3,566,23
B0719,2026-02-17,Evening,M4,583,26
B0720,2026-02-17,Night,M5,420,8
B0721,2026-02-18,Morning,M1,437,12
B0722,2026-02-18,Evening,M2,454,19
B0723,2026-02-18,Night,M3,471,33
B0724,2026-02-18,Morning,M4,488,5
B0725,2026-02-18,Evening,M5,505,12
B0726,2026-02-18,Night,M1,522,22
B0727,2026-02-18,Morning,M2,539,26
B0728,2026-02-18,Evening,M3,556,9
B0729,2026-02-18,Night,M4,573,15
B0730,2026-02-18,Morning,M5,590,19
B0731,2026-02-18,Evening,M1,427,26
B0732,2026-02-18,Night,M2,444,8
B0733,2026-02-18,Morning,M3,461,16
B0734,2026-02-18,Evening,M4,478,19
B0735,2026-02-18,Night,M5,495,29
B0736,2026-02-19,Morning,M1,512,5
B0737,2026-02-19,Evening,M2,529,12
B0738,2026-02-19,Night,M3,546,26
B0739,2026-02-19,Morning,M4,563,26
B0740,2026-02-19,Evening,M5,580,5
B0741,2026-02-19,Night,M1,597,15
B0742,2026-02-19,Morning,M2,434,19
B0743,2026-02-19,Evening,M3,451,30
B0744,2026-02-19,Night,M4,468,8
B0745,2026-02-19,Morning,M5,485,12
B0746,2026-02-19,Evening,M1,502,19
B0747,2026-02-19,Night,M2,519,29
B0748,2026-02-19,Morning,M3,536,9
B0749,2026-02-19,Evening,M4,553,12
B0750,2026-02-19,Night,M5,570,22
B0751,2026-02-20,Morning,M1,587,26
B0752,2026-02-20,Evening,M2,424,5
B0753,2026-02-20,Night,M3,441,19
B0754,2026-02-20,Morning,M4,458,19
B0755,2026-02-20,Evening,M5,475,26
B0756,2026-02-20,Night,M1,492,8
B0757,2026-02-20,Morning,M2,509,12
B0758,2026-02-20,Evening,M3,526,23
B0759,2026-02-20,Night,M4,543,29
B0760,2026-02-20,Morning,M5,560,5
B0761,2026-02-20,Evening,M1,577,12
B0762,2026-02-20,Night,M2,594,22
B0763,2026-02-20,Morning,M3,431,30
B0764,2026-02-20,Evening,M4,448,5
B0765,2026-02-20,Night,M5,465,15
B0766,2026-02-21,Morning,M1,482,19
B0767,2026-02-21,Evening,M2,499,26
B0768,2026-02-21,Night,M3,516,12
B0769,2026-02-21,Morning,M4,533,12
B0770,2026-02-21,Evening,M5,550,19
B0771,2026-02-21,Night,M1,567,29
B0772,2026-02-21,Morning,M2,584,5
B0773,2026-02-21,Evening,M3,421,16
B0774,2026-02-21,Night,M4,438,22
B0775,2026-02-21,Morning,M5,455,26
B0776,2026-02-21,Evening,M1,472,5
B0777,2026-02-21,Night,M2,489,15
B0778,2026-02-21,Morning,M3,506,23
B0779,2026-02-21,Evening,M4,523,26
B0780,2026-02-21,Night,M5,540,8
B0781,2026-02-22,Morning,M1,557,12
B0782,2026-02-22,Evening,M2,574,19
B0783,2026-02-22,Night,M3,591,33
B0784,2026-02-22,Morning,M4,428,5
B0785,2026-02-22,Evening,M5,445,12
B0786,2026-02-22,Night,M1,462,22
B0787,2026-02-22,Morning,M2,479,26
B0788,2026-02-22,Evening,M3,496,9
B0789,2026-02-22,Night,M4,513,15
B0790,2026-02-22,Morning,M5,530,19
B0791,2026-02-22,Evening,M1,547,26
B0792,2026-02-22,Night,M2,564,8
B0793,2026-02-22,Morning,M3,581,16
B0794,2026-02-22,Evening,M4,598,19
B0795,2026-02-22,Night,M5,435,29
B0796,2026-02-23,Morning,M1,452,5
B0797,2026-02-23,Evening,M2,469,12
B0798,2026-02-23,Night,M3,486,26
B0799,2026-02-23,Morning,M4,503,26
B0800,2026-02-23,Evening,M5,520,5
B0801,2026-02-23,Night,M1,537,15
B0802,2026-02-23,Morning,M2,554,19
B0803,2026-02-23,Evening,M3,571,30
B0804,2026-02-23,Night,M4,588,8
B0805,2026-02-23,Morning,M5,425,12
B0806,2026-02-23,Evening,M1,442,19
B0807,2026-02-23,Night,M2,459,29
B0808,2026-02-23,Morning,M3,476,9
B0809,2026-02-23,Evening,M4,493,12
B0810,2026-02-23,Night,M5,510,22
B0811,2026-02-24,Morning,M1,527,26
B0812,2026-02-24,Evening,M2,544,5
B0813,2026-02-24,Night,M3,561,19
B0814,2026-02-24,Morning,M4,578,19
B0815,2026-02-24,Evening,M5,595,26
B0816,2026-02-24,Night,M1,432,8
B0817,2026-02-24,Morning,M2,449,12
B0818,2026-02-24,Evening,M3,466,23
B0819,2026-02-24,Night,M4,483,29
B0820,2026-02-24,Morning,M5,500,5
B0821,2026-02-24,Evening,M1,517,12
B0822,2026-02-24,Night,M2,534,22
B0823,2026-02-24,Morning,M3,551,30
B0824,2026-02-24,Evening,M4,568,5
B0825,2026-02-24,Night,M5,585,15
B0826,2026-02-25,Morning,M1,422,19
B0827,2026-02-25,Evening,M2,439,26
B0828,2026-02-25,Night,M3,456,12
B0829,2026-02-25,Morning,M4,473,12
B0830,2026-02-25,Evening,M5,490,19
B0831,2026-02-25,Night,M1,507,29
B0832,2026-02-25,Morning,M2,524,5
B0833,2026-02-25,Evening,M3,541,16
B0834,2026-02-25,Night,M4,558,22
B0835,2026-02-25,Morning,M5,575,26
B0836,2026-02-25,Evening,M1,592,5
B0837,2026-02-25,Night,M2,429,15
B0838,2026-02-25,Morning,M3,446,23
B0839,2026-02-25,Evening,M4,463,26
B0840,2026-02-25,Night,M5,480,8
B0841,2026-02-26,Morning,M1,497,12
B0842,2026-02-26,Evening,M2,514,19
B0843,2026-02-26,Night,M3,531,33
B0844,2026-02-26,Morning,M4,548,5
B0845,2026-02-26,Evening,M5,565,12
B0846,2026-02-26,Night,M1,582,22
B0847,2026-02-26,Morning,M2,599,26
B0848,2026-02-26,Evening,M3,436,9
B0849,2026-02-26,Night,M4,453,15
B0850,2026-02-26,Morning,M5,470,19
B0851,2026-02-26,Evening,M1,487,26
B0852,2026-02-26,Night,M2,504,8
B0853,2026-02-26,Morning,M3,521,16
B0854,2026-02-26,Evening,M4,538,19
B0855,2026-02-26,Night,M5,555,29
B0856,2026-02-27,Morning,M1,572,5
B0857,2026-02-27,Evening,M2,589,12
B0858,2026-02-27,Night,M3,426,26
B0859,2026-02-27,Morning,M4,443,26
B0860,2026-02-27,Evening,M5,460,5
B0861,2026-02-27,Night,M1,477,15
B0862,2026-02-27,Morning,M2,494,19
B0863,2026-02-27,Evening,M3,511,30
B0864,2026-02-27,Night,M4,528,8
B0865,2026-02-27,Morning,M5,545,12
B0866,2026-02-27,Evening,M1,562,19
B0867,2026-02-27,Night,M2,579,29
B0868,2026-02-27,Morning,M3,596,9
B0869,2026-02-27,Evening,M4,433,12
B0870,2026-02-27,Night,M5,450,22
B0871,2026-02-28,Morning,M1,467,26
B0872,2026-02-28,Evening,M2,484,5
B0873,2026-02-28,Night,M3,501,19
B0874,2026-02-28,Morning,M4,518,19
B0875,2026-02-28,Evening,M5,535,26
B0876,2026-02-28,Night,M1,552,8
B0877,2026-02-28,Morning,M2,569,12
B0878,2026-02-28,Evening,M3,586,23
B0879,2026-02-28,Night,M4,423,29
B0880,2026-02-28,Morning,M5,440,5
B0881,2026-02-28,Evening,M1,457,12
B0882,2026-02-28,Night,M2,474,22
B0883,2026-02-28,Morning,M3,491,30
B0884,2026-02-28,Evening,M4,508,5
B0885,2026-02-28,Night,M5,525,15
B0886,2026-03-01,Morning,M1,542,19
B0887,2026-03-01,Evening,M2,559,26
B0888,2026-03-01,Night,M3,576,12
B0889,2026-03-01,Morning,M4,593,12
B0890,2026-03-01,Evening,M5,430,19
B0891,2026-03-01,Night,M1,447,29
B0892,2026-03-01,Morning,M2,464,5
B0893,2026-03-01,Evening,M3,481,16
B0894,2026-03-01,Night,M4,498,22
B0895,2026-03-01,Morning,M5,515,26
B0896,2026-03-01,Evening,M1,532,5
B0897,2026-03-01,Night,M2,549,15
B0898,2026-03-01,Morning,M3,566,23
B0899,2026-03-01,Evening,M4,583,26
B0900,2026-03-01,Night,M5,420,8
B0901,2026-03-02,Morning,M1,437,12
B0902,2026-03-02,Evening,M2,454,19
B0903,2026-03-02,Night,M3,471,33
B0904,2026-03-02,Morning,M4,488,5
B0905,2026-03-02,Evening,M5,505,12
B0906,2026-03-02,Night,M1,522,22
B0907,2026-03-02,Morning,M2,539,26
B0908,2026-03-02,Evening,M3,556,9
B0909,2026-03-02,Night,M4,573,15
B0910,2026-03-02,Morning,M5,590,19
B0911,2026-03-02,Evening,M1,427,26
B0912,2026-03-02,Night,M2,444,8
B0913,2026-03-02,Morning,M3,461,16
B0914,2026-03-02,Evening,M4,478,19
B0915,2026-03-02,Night,M5,495,29
B0916,2026-03-03,Morning,M1,512,5
B0917,2026-03-03,Evening,M2,529,12
B0918,2026-03-03,Night,M3,546,26
B0919,2026-03-03,Morning,M4,563,26
B0920,2026-03-03,Evening,M5,580,5
B0921,2026-03-03,Night,M1,597,15
B0922,2026-03-03,Morning,M2,434,19
B0923,2026-03-03,Evening,M3,451,30
B0924,2026-03-03,Night,M4,468,8
B0925,2026-03-03,Morning,M5,485,12
B0926,2026-03-03,Evening,M1,502,19
B0927,2026-03-03,Night,M2,519,29
B0928,2026-03-03,Morning,M3,536,9
B0929,2026-03-03,Evening,M4,553,12
B0930,2026-03-03,Night,M5,570,22
B0931,2026-03-04,Morning,M1,587,26
B0932,2026-03-04,Evening,M2,424,5
B0933,2026-03-04,Night,M3,441,19
B0934,2026-03-04,Morning,M4,458,19
B0935,2026-03-04,Evening,M5,475,26
B0936,2026-03-04,Night,M1,492,8
B0937,2026-03-04,Morning,M2,509,12
B0938,2026-03-04,Evening,M3,526,23
B0939,2026-03-04,Night,M4,543,29
B0940,2026-03-04,Morning,M5,560,5
B0941,2026-03-04,Evening,M1,577,12
B0942,2026-03-04,Night,M2,594,22
B0943,2026-03-04,Morning,M3,431,30
B0944,2026-03-04,Evening,M4,448,5
B0945,2026-03-04,Night,M5,465,15
B0946,2026-03-05,Morning,M1,482,19
B0947,2026-03-05,Evening,M2,499,26
B0948,2026-03-05,Night,M3,516,12
B0949,2026-03-05,Morning,M4,533,12
B0950,2026-03-05,Evening,M5,550,19
B0951,2026-03-05,Night,M1,567,29
B0952,2026-03-05,Morning,M2,584,5
B0953,2026-03-05,Evening,M3,421,16
B0954,2026-03-05,Night,M4,438,22
B0955,2026-03-05,Morning,M5,455,26
B0956,2026-03-05,Evening,M1,472,5
B0957,2026-03-05,Night,M2,489,15
B0958,2026-03-05,Morning,M3,506,23
B0959,2026-03-05,Evening,M4,523,26
B0960,2026-03-05,Night,M5,540,8
B0961,2026-03-06,Morning,M1,557,12
B0962,2026-03-06,Evening,M2,574,19
B0963,2026-03-06,Night,M3,591,33
B0964,2026-03-06,Morning,M4,428,5
B0965,2026-03-06,Evening,M5,445,12
B0966,2026-03-06,Night,M1,462,22
B0967,2026-03-06,Morning,M2,479,26
B0968,2026-03-06,Evening,M3,496,9
B0969,2026-03-06,Night,M4,513,15
B0970,2026-03-06,Morning,M5,530,19
B0971,2026-03-06,Evening,M1,547,26
B0972,2026-03-06,Night,M2,564,8
B0973,2026-03-06,Morning,M3,581,16
B0974,2026-03-06,Evening,M4,598,19
B0975,2026-03-06,Night,M5,435,29
B0976,2026-03-07,Morning,M1,452,5
B0977,2026-03-07,Evening,M2,469,12
B0978,2026-03-07,Night,M3,486,26
B0979,2026-03-07,Morning,M4,503,26
B0980,2026-03-07,Evening,M5,520,5
B0981,2026-03-07,Night,M1,537,15
B0982,2026-03-07,Morning,M2,554,19
B0983,2026-03-07,Evening,M3,571,30
B0984,2026-03-07,Night,M4,588,8
B0985,2026-03-07,Morning,M5,425,12
B0986,2026-03-07,Evening,M1,442,19
B0987,2026-03-07,Night,M2,459,29
B0988,2026-03-07,Morning,M3,476,9
B0989,2026-03-07,Evening,M4,493,12
B0990,2026-03-07,Night,M5,510,22
B0991,2026-03-08,Morning,M1,527,26
B0992,2026-03-08,Evening,M2,544,5
B0993,2026-03-08,Night,M3,561,19
B0994,2026-03-08,Morning,M4,578,19
B0995,2026-03-08,Evening,M5,595,26
B0996,2026-03-08,Night,M1,432,8
B0997,2026-03-08,Morning,M2,449,12
B0998,2026-03-08,Evening,M3,466,23
B0999,2026-03-08,Night,M4,483,29
B1000,2026-03-08,Morning,M5,500,5
